iid;title;year;Adventure;Fantasy;Children;Animation;Comedy;Romance;Drama;Thriller;Action;Crime;Horror;Mystery;Sci-Fi;War;Musical;Documentary;IMAX;Western;Film-Noir;(no genres listed);directors;actors;writers
0;Toy Story;1990;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Tom Hanks;
1;Jumanji;1990;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Robin Williams;
2;Grumpier Old Men;1990;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
3;Father of the Bride Part II;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Steve Martin;
4;Heat;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;;Al Pacino,Robert De Niro,Val Kilmer;
5;Sabrina;1990;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
6;Sudden Death;1990;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
7;GoldenEye;1990;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;Pierce Brosnan;Ian Fleming
8;American President;1990;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Michael Douglas;
9;Dracula: Dead and Loving It;1990;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;;;
10;Nixon;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Anthony Hopkins;
11;Cutthroat Island;1990;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
12;Casino;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Martin Scorsese;Robert De Niro;
13;Sense and Sensibility;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
14;Four Rooms;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
15;Ace Ventura: When Nature Calls;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Jim Carrey;
16;Money Train;1990;False;False;False;False;True;False;True;True;True;True;False;False;False;False;False;False;False;False;False;False;;Woody Harrelson;
17;Get Shorty;1990;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;;Gene Hackman,Danny DeVito;
18;Copycat;1990;False;False;False;False;False;False;True;True;False;True;True;True;False;False;False;False;False;False;False;False;;Sigourney Weaver;
19;Assassins;1990;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;Richard Donner;Sylvester Stallone,Julianne Moore;
20;Powder;1990;False;False;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;;;
21;Leaving Las Vegas;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Nicolas Cage;
22;Othello;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
23;Persuasion;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
24;City of Lost Children;1990;True;True;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;;;
25;Dangerous Minds;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Michelle Pfeiffer;
26;Twelve Monkeys;1990;False;False;False;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;;Bruce Willis,Brad Pitt;
27;Babe;1990;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
28;Dead Man Walking;1990;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
29;Clueless;1990;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
30;Richard III;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;Ian McKellen;
31;Mortal Kombat;1990;True;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;;;
32;To Die For;1990;False;False;False;False;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;Nicole Kidman;
33;How to Make an American Quilt;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;Winona Ryder;
34;Seven;1990;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;;Will Smith,Woody Harrelson;
35;Pocahontas;1990;False;False;True;True;False;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;;Mel Gibson,Christian Bale;
36;Usual Suspects;1990;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;;Kevin Spacey;
37;Mighty Aphrodite;1990;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Woody Allen;Woody Allen;Woody Allen
38;Postman;1990;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
39;Indian in the Cupboard;1990;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
40;Mr. Holland's Opus;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
41;Bio-Dome;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
42;Friday;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
43;From Dusk Till Dawn;1990;False;False;False;False;True;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;;George Clooney;Quentin Tarantino
44;Misérables, Les;1990;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;;;
45;Screamers;1990;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;;;
46;Juror;1990;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;;
47;Things to Do in Denver When You're Dead;1990;False;False;False;False;False;True;True;False;False;True;False;False;False;False;False;False;False;False;False;False;;;
48;White Squall;1990;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;Ridley Scott;;
49;Black Sheep;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;;
50;Broken Arrow;1990;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;;John Travolta;
51;City Hall;1990;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;;Al Pacino,John Cusack;
52;Bottle Rocket;1990;True;False;False;False;True;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;;Owen Wilson;
53;Happy Gilmore;1990;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;;Adam Sandler;
54;Bridges of Madison County;1990;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Clint Eastwood;Clint Eastwood,Meryl Streep;
55;Muppet Treasure Island;1990;True;False;True;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;;;
56;Braveheart;1990;False;False;False;False;False;False;True;False;True;False;False;False;False;True;False;False;False;False;False;False;;Mel Gibson;
