iid;title;year;Adventure;Fantasy;Children;Animation;Comedy;Romance;Drama;Thriller;Action;Crime;Horror;Mystery;Sci-Fi;War;Musical;Documentary;IMAX;Western;Film-Noir;(no genres listed);directors;actors;writers
1;Toy Story;1995;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;John Lasseter;Tom Hanks,Tim Allen,Don Rickles;John Lasseter,Pete Docter,Andrew Stanton
2;Jumanji;1995;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Joe Johnston;Robin Williams,Kirsten Dunst,Bonnie Hunt;Jonathan Hensleigh,Greg Taylor,Jim Strain
3;Grumpier Old Men;1995;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Howard Deutch;Walter Matthau,Jack Lemmon,Ann-Margret;Mark Steven Johnson
4;Waiting to Exhale;1995;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Forest Whitaker;Whitney Houston,Angela Bassett,Loretta Devine;Terry McMillan,Ronald Bass
5;Father of the Bride Part II;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Charles Shyer;Steve Martin,Diane Keaton,Martin Short;Albert Hackett,Frances Goodrich,Nancy Meyers
6;Heat;1995;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;Michael Mann;Al Pacino,Robert De Niro,Val Kilmer;Michael Mann
7;Sabrina;1995;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Billy Wilder;Humphrey Bogart,Audrey Hepburn,William Holden;Billy Wilder,Samuel A. Taylor,Ernest Lehman
8;Tom and Huck;1995;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Peter Hewitt;Jonathan Taylor Thomas,Brad Renfro,Charles Rocket;Mark Twain,Stephen Sommers,David Loughery
9;Sudden Death;1995;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Peter Hyams;Jean-Claude Van Damme,Powers Boothe,Raymond J. Barry;Karen Elise Baldwin,Gene Quintano
10;GoldenEye;1995;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;Martin Campbell;Pierce Brosnan,Sean Bean,Izabella Scorupco;Ian Fleming,Michael France,Jeffrey Caine
11;American President;1995;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Rob Reiner;Michael Douglas,Annette Bening,Martin Sheen;Aaron Sorkin
12;Dracula: Dead and Loving It;1995;False;False;False;False;True;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;Mel Brooks;Leslie Nielsen,Mel Brooks,Peter MacNicol;Mel Brooks,Rudy De Luca,Steve Haberman
13;Balto;1995;True;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Simon Wells;Kevin Bacon,Bob Hoskins,Bridget Fonda;Cliff Ruby,Elana Lesser,David Steven Cohen
14;Nixon;1995;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Oliver Stone;Anthony Hopkins,Joan Allen,Powers Boothe;Stephen J. Rivele,Christopher Wilkinson,Oliver Stone
15;Cutthroat Island;1995;True;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;False;Renny Harlin;Geena Davis,Matthew Modine,Frank Langella;Michael Frost Beckner,James Gorman,Bruce A. Evans
16;Casino;1995;False;False;False;False;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;Martin Scorsese;Robert De Niro,Sharon Stone,Joe Pesci;Nicholas Pileggi,Martin Scorsese
17;Sense and Sensibility;1995;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;Ang Lee;Emma Thompson,Kate Winslet,James Fleet;Jane Austen,Emma Thompson
18;Four Rooms;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Allison Anders,Alexandre Rockwell,Robert Rodriguez;Tim Roth,Antonio Banderas,Sammi Davis;Allison Anders,Alexandre Rockwell,Robert Rodriguez
19;Ace Ventura: When Nature Calls;1995;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;Steve Oedekerk;Jim Carrey,Ian McNeice,Simon Callow;Jack Bernstein,Steve Oedekerk
